Complain,TenureGroup,用户数,流失人数,流失率,平均订单数,平均满意度,样本提示
1,新用户(≤3个月),522,345,0.6609195402298851,2.5478927203065136,3.0727969348659006,可观察
0,新用户(≤3个月),1038,308,0.29672447013487474,2.2013487475915223,3.23121387283237,可观察
1,成长期(4-6个月),137,30,0.21897810218978103,3.0291970802919708,2.7518248175182483,可观察
1,稳定期(7-12个月),406,81,0.19950738916256158,2.667487684729064,3.022167487684729,可观察
1,忠诚期(13-24个月),414,52,0.12560386473429952,3.345410628019324,2.9057971014492754,可观察
0,稳定期(7-12个月),1178,75,0.0636672325976231,2.775042444821732,2.9787775891341255,可观察
0,忠诚期(13-24个月),1053,43,0.04083570750237417,3.8461538461538463,3.1595441595441596,可观察
0,成长期(4-6个月),453,14,0.03090507726269316,2.9514348785871967,2.9911699779249448,可观察
0,长期用户(>24个月),304,0,0.0,3.7467105263157894,2.9967105263157894,可观察
1,长期用户(>24个月),125,0,0.0,3.056,3.192,可观察
